date,comment
2017-03-26 17:14:36,Luce line!!
2017-03-28 04:10:36,Wow! AM!!!! 
2017-05-26 15:33:45,Thomas complains about running with butters since he picks up the pace too fast. Thomas proceeds to do 6 at 6 flat.
2017-06-04 10:34:43,"Alec Getzloff missed that waterfall because be stayed further north, but trust me I've seen mt fair share of waterfalls here. Haven't seen many kayakers though"
2017-06-06 19:02:14,Explain more?
2017-06-06 20:07:27,"Glad its improving, do pedestal!"
2017-06-07 22:24:35,What type of ducks
2017-06-08 03:09:09,"Relax the pace, no point in stressing it further, i know you need your mile but does it have to be sub-6:40? But glad its getting better!"
2017-06-08 16:34:41,Make it 2 separate activities 
2017-06-08 16:37:36,"The normal route cuts a little earlier and looks better, ill do it sometime soon"
2017-06-09 15:08:33,Wow hope you are ready to keep up with Megan next week 
2017-06-09 15:08:57,That was from Megan Heiniger  
2017-06-11 17:52:22,"Good to see you're running, but with all of these strava activities, im confused to shit"
2017-06-11 17:55:03,"Also glad to see no spooky storms, can atest it was very spooky, make sure to drink your calcium to avoid the spooky storms"
2017-06-12 18:16:49,Where's the pic?
2017-06-13 04:28:14,When did that change?
2017-06-14 20:57:55,Are you fucking with me.....check out my run
2017-06-17 17:06:13,You got to follow him on here 
2017-06-17 17:17:33,He showed up as a companion on my spooky storm run
2017-06-22 04:25:45,"Easy, breezy....covergirl"
2017-06-23 14:55:34,Plz explain why high temps = calf tightness
2017-06-23 15:23:09,"Generally higher temperatures are associated with your muscles being looser, because the heat opens up blood vessels bringing more oxygen and helping to take away lactic acid and thus technically decreasing soreness. which is why most athletes, especially fast twitch muscle athlete's don't need to warm up as much in the heat, and why at physical therapy they put hot pads on you before starting therapy. I would say muscle soreness might be more from trying to maintain the same expected pace or effort in the heat. But i mean who knows muscle soreness can stem from millions of different things, just be sure to not kill yourself for two weeks again pls"
2017-06-25 16:26:33,Fixed 
2017-06-28 04:18:47,"Why the 8x50, speed? or just to loosen up?"
2017-07-01 04:06:43,This is a good guess on time
2017-07-01 04:07:15,This was done in a solid period of time
2017-07-01 19:14:23,Record this as a bike
2017-07-01 19:16:22,Record this as a bike
2017-07-01 19:24:24,"Pace is unrealistic and it is titled as a bike
"
2017-07-01 19:25:30,Unrealistic Pace over activity
2017-07-06 19:44:19,Just tried each 10 times in head avg: 1.53sec; out loud avg :1.68sec
2017-07-09 14:42:38,You didnt still go to bederwood?
2017-07-14 01:42:59,"If your foot still hurts but you still want to do a workout I'd say theres two options. 1. Go slow on an easy run to let your foot recover and then try to do a workout the next day, maybe an abbreviated one or the 1' repeats so you can stop if need be easily.  2. Do a tempo. Tempos are good because you dont go as fast = less stress on foot, and since its continuous unlike the workout,  you still get a good benefit. My vote would be a tempo."
2017-07-14 01:44:40,But also ocerall my vote would be to recover
2017-07-22 01:45:17,Glad you're back 😚
2017-07-27 19:19:47,I am proud of you
2017-07-28 20:21:26,20 more miles
2017-08-01 16:09:00,I see your bathroom/water stop 
2017-08-03 19:54:43,Classic apple watch
2017-08-05 14:31:59,Do you have a timeline on when you get to start running full time again?
2017-08-06 00:17:08,I would personally move straight to the amphetamines 
2017-08-07 16:27:57,Running > biking
2017-08-07 16:50:40,"True. Go get a free week long trial at a gym, i did that a couple summers ago "
2017-08-07 16:52:32,Stationary bike? Thats probably too miserable though
2017-08-07 17:02:39,I thought the pedal broke off?
2017-08-07 17:02:59,Spooky
2017-08-10 17:21:52,"Ive always believed the multiple pace peaks is because the watch is either bad at pace transitions or bad at fast pace. Not because of actual pace, just my hypothesis though "
2017-08-11 02:42:15,Did the luce line flood or what is going on?
2017-08-12 18:55:35,this was actually a 50 mile bike ride though....
2017-08-13 16:06:05,Were you trying to be emma coburn....?
2017-08-13 18:19:33,Wrong lyrics
2017-08-13 18:24:15,wrong lyrics though
2017-08-13 20:51:34,I appreciate the edit
2017-08-16 21:09:14,You're back!
2017-08-16 23:44:53,Gotta record the run too 
2017-08-19 13:31:05,Yes
2017-08-19 19:50:17,EPO is A OK
2017-08-19 21:18:45,You boys have some nice biking suits
2017-08-19 21:21:57,Added pic
2017-08-20 12:39:38,Lol
2017-08-22 02:45:45,Tell us how you really feel
2017-08-23 14:11:13,Probably put too much strain on it with that 7:25 first mile
2017-08-24 03:33:29,"I didn't win, just as an fyi for those who were wondering"
2017-09-06 13:01:17,4:50?!
2017-09-07 01:28:03,Alumni 5k taper starting?
2017-09-30 21:33:16,Cow
2017-10-04 01:47:20,Rip squirrel
2017-10-11 01:25:29,Just make your account private unless someone follows you
2017-10-27 16:49:49,Why do all of your runs start at a 0:01 mile
2017-10-27 16:50:13,Nice World Record
2017-10-27 16:50:58,"I apologize, you're still 3 seconds off"
2017-10-31 04:55:36,How's the jet lag?
2017-11-09 17:33:09,"Oh God, how did you make it through all of that water?!?!?!"
2017-11-17 14:13:29,Go look at your rocks
2017-11-17 14:14:48,What is wrong with your watch
2017-11-17 14:29:45,Still cant get that course record though 
2017-11-21 17:16:25,He's back!
2017-11-24 01:41:39,How hurt?
2017-11-24 01:44:19,"Prolly IT band, roll that shit out"
2017-11-27 02:31:34,Awakens > Menace
2017-12-04 14:37:05,Thank you for your condolences 
2017-12-08 03:30:46,He's Back!
2017-12-08 13:16:34,Hey you better not be wanting to go to bed at like 7pm tonight 😜
2017-12-19 19:28:27,Already doubled last weeks total!
2017-12-21 03:37:48,Hmmmmmmm
2017-12-25 04:14:38,Hmmmm 
2017-12-25 05:42:41,"I have 31 followers. I am currently 23 short, please help friends, christmas is tomorrow"
2017-12-27 02:47:24,Woof
2017-12-27 23:59:38,Thanks dude!
2017-12-28 00:00:05,Nice 6:42 pace
2017-12-29 16:36:41,Your sister?
2017-12-31 03:28:37,Once there's reason to celebrate 
2017-12-31 04:26:02,Be careful
2018-01-01 04:52:13,My hypothesis was correct
2018-01-01 23:22:34,^^^^^
2018-01-01 23:24:07,"Wow, surprised you remembered this a whole year later!"
2018-01-02 00:40:36,"Also set this as yesterday, dont fuck up the leaderboard"
2018-01-09 00:58:08,Lol
2018-01-10 19:13:01,Lol
2018-01-13 05:02:27,Nice 1%incline
2018-01-18 23:43:58,Stay safe
2018-01-22 04:09:02,So when are you gonna do a real race then?
2018-02-04 18:41:30,The devil himself
2018-02-06 19:57:08,Ouch
2018-02-16 03:23:59,I sold mine to him
2018-02-16 05:50:54,Liked: ^
2018-02-26 17:47:37,I did a drink
2018-02-28 20:28:16,"Was it p. fast, p. easy though"
2018-03-04 23:45:59,Hmmm. Seems a little shorter than normal
2018-03-09 17:03:35,Hmmm thats not an exact number like 10 or 15
2018-03-09 17:08:04,15 miles is quite a bit for one day
2018-03-11 19:47:58,No
2018-03-12 00:42:32,"F, why are you back here"
2018-03-16 03:29:26,Soft surfaces
2018-03-17 22:03:13,I saw you
2018-03-17 22:03:52,Nice walk
2018-03-21 02:29:41,Fuck you for taking that CR
2018-03-23 00:04:36,An interesting choice
2018-03-23 01:38:21,"121 is still prettt low, that seems about right "
2018-03-23 01:41:08,Hell yeah! All aboard the hype train!!!
2018-03-23 16:30:55,"Thats not a goal, thats a statement of fact"
2018-03-26 01:43:36,Better put the earring back in
2018-03-31 21:59:59,Who is Sean?
2018-03-31 22:02:20,No butt pic?
2018-03-31 22:02:41,It was early
2018-03-31 23:47:36,Holy
2018-04-03 01:58:17,"8, 16. Its early in the season. No need to exhaust yourself running three miles of races the first big meet"
2018-04-04 16:22:57,I hate myself for this title just fyi
2018-04-09 00:38:24,looked fun being hidden away near the men's bathroom though
2018-04-10 16:57:40,This isn't lake calhoun....
2018-04-15 03:46:42,Ouch. Watch out next time bub
2018-04-15 15:00:18,😚
2018-04-19 16:01:34,Better do a time trial!
2018-04-21 22:46:23,"Good attitude, let the workouts catch up to you"
2018-04-28 12:39:16,[Click to Show Spoiler]
2018-05-02 15:07:50,*Day 59: Cross Campus +
2018-05-03 18:39:48,You should've had my spot in fast heat for sure
2018-05-05 22:43:30,Trust me im just as shocked
2018-05-11 16:35:30,Why did you fall?
2018-05-21 03:30:06,This run is a very nice decision
2018-05-21 03:30:25,Torchlight this summer?
2018-05-26 18:04:53,Nurse Juggz!!!!
2018-05-27 03:49:04,Love that course
2018-06-01 03:51:05,Good to see you're back! 
2018-06-03 03:40:13,Yep! CURI!
2018-06-05 00:18:31,"Check strava heat map out, you might find some routes"
2018-06-05 23:49:48,"Space out your long runs more my dude, choose a day of the week and stick to it"
2018-06-05 23:49:56,But good run!
2018-06-10 19:06:11,Colton gave me some good EPO
2018-06-10 19:56:41,Did you wear a helmet?
2018-06-11 16:35:27,She did not Kara Heiniger
2018-06-12 16:04:59,F
2018-06-12 17:41:07,What are you doing?
2018-06-12 20:37:26,Can you play with xbox?
2018-06-13 01:20:00,"Garmin forerunner, lots of options for needs/price, can buy refurbished"
2018-06-14 00:09:38,Premature Puncture
2018-06-15 16:42:43,^^
2018-06-16 16:01:28,Holy shit juggz!
2018-06-16 17:13:09,They are gone. rip in peace
2018-06-16 17:21:43,Next door land lord was not pleased with them/ was going to complain to the city
2018-06-18 20:57:54,The Cubs didn't have a day game today...
2018-06-21 22:23:34,^ 👍
2018-06-22 01:12:09,Incredible Race!! Nice Job Dude!!
2018-06-22 14:05:56,Happy Birthday!! Have a good one!!
2018-06-22 14:40:41,Second half was slower
2018-06-22 14:52:27,red dog!
2018-06-22 18:42:35,^^^
2018-06-28 16:48:38,HB
2018-06-28 18:44:28,Miles 6-10 look fun
2018-06-28 22:33:50,Not St. Olaf?
2018-06-29 14:15:00,"Didn't know you were awake.... three minutes apart, rip"
2018-06-29 17:37:27,+1
2018-06-30 20:53:00,Was he wearing tights?
2018-07-04 21:50:28,Couldn't believe how good you got me today
2018-07-06 17:16:23,True
2018-07-08 21:55:04,Pace graph shows unrealistic and inconsistent running paces and should be recorded as a bike
2018-07-08 21:55:12,Pace graph shows unrealistic and inconsistent running paces and should be recorded as a bike
2018-07-08 21:56:10,Pace graph shows inconsistent and unrealistic paces for running and should have been recorded as a bike
2018-07-08 21:56:30,Pace graph shows inconsistent and unrealistic paces for running and should have been recorded as a bike
2018-07-09 17:31:56,How concuss?
2018-07-09 17:41:56,"RIP, Wear A Helmet"
2018-07-10 16:55:20,New profile pic Jackson S Simon 
2018-07-12 16:43:15,We are in hell
2018-07-14 13:39:04,Hell ya!
2018-07-14 22:46:58,Joe Mauer and Justin Morneau are on my wrist
2018-07-17 15:48:59,Probably roasting malt
2018-07-19 03:49:12,Good shit!
2018-07-19 16:55:57,"Woof, i would've walked"
2018-07-19 17:20:17,Thanks Everyone!!
2018-07-20 16:17:18,"Author says he was roller skiing in the comments, and not running"
2018-07-20 16:23:32,"Noted as rollerski in title, however is declared as a run"
2018-07-20 16:24:37,Inconsistent and incredibly quick pace demonstrate that the activity is more likely a bike activity
2018-07-20 16:25:58,Inconsistent and incredibly quick pace demonstrate that the activity is more likely a roller ski activity. This is reinforced by this user roller skiing this route other times on his log
2018-07-21 02:03:37,Don't know anything about anything bub freshmen 
2018-07-21 02:05:20,Big weekend plans?
2018-07-21 02:11:07,The Celtics
2018-07-21 02:11:54,Wait no....41-33 
2018-07-21 02:19:29,Just put me down
2018-07-21 02:26:04,Wait guys....please come back....i miss you
2018-07-21 15:40:18,Congrats!
2018-07-22 15:29:39,Sick run my dude
2018-07-22 15:29:53,Big fan of mile 2
2018-07-22 15:32:08,Are you trying to come after my course record?!
2018-07-22 18:30:14,"Nick Dea, Liam Getzloff has definitely seen the bean now"
2018-07-22 22:51:39,Erin McIntosh is this true?
2018-07-26 17:34:36,Speed is far to quick for a bike or runner
2018-07-26 17:38:16,Touch a fish?
2018-07-27 13:48:19,^
2018-07-29 02:45:00,Get a profile pic
2018-07-29 19:04:15,Surprisingly Turtle messed us up this time
2018-07-30 18:31:33,"Appreciate the input!! Thankfully, it's a down week for mileage and i plan on taking it pretty easy. After a decent number of injuries, im starting to learn when my body needs to rest."
2018-08-01 01:00:27,Ty for profile pic
2018-08-01 20:11:48,Basically it takes weight off of your body either through the use of a vacuum (the nice ones) or bungees (the one that we have) and because of that you land with less force on your legs. It allows people with stress-related injuries to keep running without doing damage to their injury. I used it to give my legs some rest while still working the muscles that normally get worked while running.
2018-08-02 13:24:53,Pedestal!
2018-08-03 02:07:31,🐸🙁
2018-08-04 01:24:52,How can you stand that kid?
2018-08-04 01:26:11,"Also take a left into boulder valley ranch, super nice trails"
2018-08-07 19:34:26,Jesus?
2018-08-07 21:40:09,"Ok, a swim makes a lot more sense"
2018-08-07 22:59:53,"Nah, just don't worry about alumni"
2018-08-07 23:37:06,Long run this weekend?
2018-08-08 01:52:32,*ghost whispers* Peeeggaasuusssssssssss
2018-08-08 16:00:46,Get a profile pic!
2018-08-09 17:02:48,So uhhhhhhhhhhh.....
2018-08-10 15:37:45,"Yeet, luce line trailhead in plymouth, 16miles ? Jacob Eggers Calvin Lehn"
2018-08-10 16:03:14,Jake Greeneway Thomas Lerdall 
2018-08-11 19:32:33,Garmin Forerunner 235
2018-08-12 21:31:41,Tell primo to upload his bub runs
2018-08-13 02:58:38,Highest mileage week ever?
2018-08-13 17:14:40,"Spooky, if extra half mile was in there it would probably be identical "
2018-08-13 19:59:38,"It'll be my 3rd pair, but yeet, i also picked up a pair of peg turbos for workouts "
2018-08-13 20:02:35,"400 miles each, it's just worked out"
2018-08-13 22:50:29,My legs would be piles of rubble.
2018-08-14 01:57:05,The conversion holds up
2018-08-14 02:28:11,My cars seats were eviscerated after I got back in my car
2018-08-15 15:33:52,"Pretty similar weight wise. I'd agree that they do seem like more of a flat/road racing shoe then everyday trainer but I've heard of a lot of pros/people at TC running using them as a trainer, so I'm not sure"
